epoch,accuracy,loss,val_accuracy,val_loss
0,0.5816509127616882,1.2612332105636597,0.7822679877281189,0.760425329208374
1,0.8225015997886658,0.6144399046897888,0.8100798726081848,0.6583167314529419
2,0.842950165271759,0.5350149869918823,0.8229870796203613,0.6026586294174194
3,0.855863630771637,0.48624956607818604,0.8351644277572632,0.5556873679161072
4,0.8662380576133728,0.449273943901062,0.8510295152664185,0.515754222869873
5,0.8735957145690918,0.42357391119003296,0.8521819114685059,0.5025507807731628
6,0.8799704909324646,0.40228310227394104,0.8468807339668274,0.5125340223312378
7,0.8848164677619934,0.3852522075176239,0.8516441583633423,0.4983835220336914
8,0.8876011967658997,0.37084144353866577,0.8519898653030396,0.5034725666046143
9,0.8921058773994446,0.3581259548664093,0.855677604675293,0.48422345519065857
10,0.8937439322471619,0.34977349638938904,0.8609403967857361,0.4772709012031555
11,0.8972248435020447,0.339386522769928,0.8594422340393066,0.4855264127254486
12,0.8991768956184387,0.3312004506587982,0.8652811646461487,0.47411587834358215
13,0.9013336896896362,0.3228371739387512,0.8537953495979309,0.4987941086292267
14,0.9031218886375427,0.31597355008125305,0.8598647713661194,0.4883362054824829
15,0.9041456580162048,0.31088241934776306,0.8683927655220032,0.4653829336166382
16,0.9068348407745361,0.3046863377094269,0.8627074360847473,0.4760827422142029
17,0.9083227515220642,0.29742076992988586,0.8613629341125488,0.526112973690033
18,0.909442126750946,0.29308804869651794,0.8682774901390076,0.47456589341163635
19,0.9116671681404114,0.287803590297699,0.8693531155586243,0.4725031554698944
20,0.9135099649429321,0.2827850580215454,0.8709281086921692,0.46927303075790405
21,0.9138376116752625,0.2796455919742584,0.8606330752372742,0.5076738595962524
22,0.9146839380264282,0.27600839734077454,0.8667409420013428,0.49412450194358826
23,0.9164857864379883,0.27177733182907104,0.8630915880203247,0.5048343539237976
24,0.9177689552307129,0.26820194721221924,0.8606330752372742,0.5371583104133606
25,0.9187654256820679,0.2641046941280365,0.8655501008033752,0.5043246150016785
26,0.9202123880386353,0.26168912649154663,0.8681622743606567,0.5092141628265381
27,0.9218504428863525,0.25513702630996704,0.8606714606285095,0.5428357720375061
28,0.9205673336982727,0.2570478916168213,0.8652427792549133,0.5542166233062744
29,0.9230244159698486,0.25049707293510437,0.8669329881668091,0.5143455266952515
