epoch,accuracy,loss,val_accuracy,val_loss
0,0.2566307783126831,3.6628189086914062,0.4569760262966156,1.6959004402160645
1,0.4944919943809509,1.5552153587341309,0.5276198387145996,1.5147851705551147
2,0.5528891682624817,1.3921138048171997,0.5238936543464661,1.510855793952942
3,0.5835619568824768,1.3082045316696167,0.5726797580718994,1.4213917255401611
4,0.6053619384765625,1.245133399963379,0.46953749656677246,1.74424147605896
5,0.6217972636222839,1.1985745429992676,0.608712375164032,1.2632559537887573
6,0.6341919302940369,1.1637083292007446,0.5883911848068237,1.317296028137207
7,0.6414540410041809,1.137386441230774,0.628803014755249,1.2271312475204468
8,0.6544084548950195,1.103181004524231,0.5928088426589966,1.3392916917800903
9,0.6593090295791626,1.0897504091262817,0.6380224227905273,1.2022161483764648
10,0.6656838059425354,1.0704759359359741,0.636063277721405,1.2040483951568604
11,0.6696561574935913,1.058348298072815,0.6248847842216492,1.2288154363632202
12,0.6801397800445557,1.0375876426696777,0.6563460230827332,1.1637300252914429
13,0.6832930445671082,1.02482271194458,0.6327980756759644,1.2117068767547607
14,0.6867193579673767,1.0129754543304443,0.6128226518630981,1.305902361869812
15,0.6898180246353149,1.0078331232070923,0.6443607807159424,1.1927789449691772
16,0.6929576992988586,0.9931459426879883,0.672480046749115,1.0898009538650513
17,0.6973804831504822,0.9799792170524597,0.6456284523010254,1.21829092502594
18,0.7021308541297913,0.9711515307426453,0.6664105653762817,1.1386926174163818
19,0.6992232799530029,0.9767007231712341,0.6490857601165771,1.2403842210769653
20,0.7013118267059326,0.9732481837272644,0.6768592596054077,1.1075206995010376
21,0.7012708783149719,0.9741050601005554,0.6674861907958984,1.1375396251678467
22,0.7055162191390991,0.9564140439033508,0.670712947845459,1.1316801309585571
23,0.7085739374160767,0.9523277282714844,0.6852335333824158,1.0625603199005127
24,0.7104849815368652,0.945669412612915,0.6416333913803101,1.1972392797470093
25,0.7111948132514954,0.9410022497177124,0.67958664894104,1.1032798290252686
26,0.7110310196876526,0.9434993267059326,0.6817762851715088,1.094292163848877
27,0.7115907073020935,0.943794310092926,0.6887292265892029,1.0714976787567139
28,0.7150306701660156,0.9344065189361572,0.6933773756027222,1.056601881980896
29,0.7137884497642517,0.9315529465675354,0.643822968006134,1.1957284212112427
